firstname	lastname	university	university_shortname	university_city	function	organization	organization_sector
Susanne	Bickel	Uni Basel	UBA	Basel	Archaeological Society Board Member	Swiss Society for Ancient Near Eastern Studies	Society, Social, Culture & Sports
Christiane	Wendehorst	Uni St. Gallen	USG	Saint Gallen	Legal Institute Advisory Board	European Law Institute	Consulting, public relations, legal & trust
Michel	Bierlaire	ETH Lausanne	EPF	Lausanne	Transportation Planning Consultant	Transitec Ingénieurs-Conseils SA	Consulting, public relations, legal & trust
Walter	Steinlin	ETH Zurich	ETH	Zurich	Energy Company Executive	Axpo Holding AG	Energy, environment & mobility
Fabienne	Crettaz von Roten	Uni Lausanne	ULA	Lausanne	Science Communication Expert	Science et Cité	Education & research
Giovanna	Bochicchio	Uni Lugano	USI	Lugano	Chamber of Commerce Executive	Camera di Commercio Italiana per la Svizzera	Commerce, trade & services
Patricia	Danzi	Uni Geneva	UGE	Geneva	Directrice	Swiss Agency for Development and Cooperation	Politics, administration, justice system & security sector
Michael	Hengartner	ETH Zurich	ETH	Zurich	University System President	swissuniversities	Education & research
Laurent	Mellier	Uni Lausanne	ULA	Lausanne	University Hospital Medical Director	Lausanne University Hospital	Pharma & health
Sergio	Rossi	Uni Lugano	USI	Lugano	Private Banking Economic Advisor	Banca del Gottardo SA	Financial industry & insurances
Katharina	Fromm	Uni Freiburg	UFR	Fribourg	Natural Sciences Academy Vice President	Swiss Academy of Sciences	Education & research
Jean-Marc	Piveteau	ETH Zurich	ETH	Zurich	Railway Cargo Executive	SBB Cargo AG	Commerce, trade & services
Martine	Rebetez	Uni Neuenburg	UNE	Neuchâtel	Climate Research Expert	Federal Office of Meteorology and Climatology MeteoSwiss	Energy, environment & mobility
Giuseppe	Melfi	Uni Lausanne	ULA	Lausanne	International Mathematics Professor	University of Tunis El Manar	Education & research
Bruno	Staffelbach	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Mammut Sports Group AG	Commerce, trade & services
Cristina	Amon	ETH Zurich	ETH	Zurich	Engineering Faculty Dean	University of Toronto	Education & research
François	Bregha	Uni Geneva	UGE	Geneva	Senior Advisor	International Committee of the Red Cross	Society, Social, Culture & Sports
Silvia	Decurtins	Uni Basel	UBA	Basel	Board Member	Swiss Chemical Society	Education & research
Alessandro	Curioni	ETH Zurich	ETH	Zurich	Director	IBM Research Zurich	Technology
Marie-Christine	Lemardeley	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Firmenich SA	Technology
Roberto	Bonzio	Uni Lugano	USI	Lugano	Advisory Board	Lugano Airport	Commerce, trade & services
Heidi	Hanselmann	Uni St. Gallen	USG	Saint Gallen	State Councilor	Canton of St. Gallen	Politics, administration, justice system & security sector
Catherine	Deharveng	Uni Geneva	UGE	Geneva	Director	European Space Agency	Education & research
Marcel	Salathé	ETH Lausanne	EPF	Lausanne	Co-founder	Epidemium Platform	Technology
